21.5,1.335588235,Wed,3
22,1.268674136,Wed,3
22.5,1.096325864,Wed,3
23,1.011517274,Wed,3
23.5,0.829831933,Wed,3
24,0.929817927,Wed,3
0.5,0.794038282,Thu,4
1,0.692110177,Thu,4
1.5,0.537661064,Thu,4
2,0.491363212,Thu,4
2.5,0.367647059,Thu,4
3,0.336914099,Thu,4
3.5,0.296839402,Thu,4
4,0.312012138,Thu,4
4.5,0.275056022,Thu,4
5,0.250546218,Thu,4
5.5,0.157563025,Thu,4
6,0.222535014,Thu,4
6.5,0.256381886,Thu,4
7,0.265718954,Thu,4
7.5,0.278165266,Thu,4
8,0.441956116,Thu,4
8.5,0.620915033,Thu,4
9,0.883520075,Thu,4
9.5,1.12745098,Thu,4
10,1.349985994,Thu,4
10.5,1.732805789,Thu,4
11,1.652273576,Thu,4
11.5,1.735915033,Thu,4
12,1.785326797,Thu,4
12.5,1.544505135,Thu,4
13,1.55073296,Thu,4
13.5,1.414565826,Thu,4
14,1.485760971,Thu,4
14.5,1.525830999,Thu,4
15,1.427016807,Thu,4
15.5,1.340648926,Thu,4
16,1.192422969,Thu,4
16.5,1.20136788,Thu,4
17,1.167521008,Thu,4
17.5,1.340648926,Thu,4
18,1.427016807,Thu,4
18.5,1.43012605,Thu,4
19,1.62464986,Thu,4
19.5,1.528944911,Thu,4
20,1.704794585,Thu,4
20.5,1.597026144,Thu,4
21,1.460863679,Thu,4
21.5,1.281900093,Thu,4
22,1.288127918,Thu,4
22.5,1.241830065,Thu,4
23,1.068706816,Thu,4
23.5,0.936041083,Thu,4
24,0.864845938,Thu,4
0.5,0.787035481,Fri,5
1,0.790149393,Fri,5
1.5,0.61780112,Fri,5
2,0.531825397,Fri,5
2.5,0.40694211,Fri,5
3,0.344691877,Fri,5
3.5,0.362591036,Fri,5
4,0.270387488,Fri,5
4.5,0.276223156,Fri,5
5,0.276223156,Fri,5
5.5,0.213972923,Fri,5
6,0.264551821,Fri,5
6.5,0.23770775,Fri,5
7,0.226036415,Fri,5
7.5,0.329911298,Fri,5
8,0.410051354,Fri,5
8.5,0.576176471,Fri,5
9,0.724789916,Fri,5
9.5,1.060144725,Fri,5
10,1.21770775,Fri,5
10.5,1.303688142,Fri,5
11,1.538281979,Fri,5
11.5,1.470200747,Fri,5
12,1.556176471,Fri,5
12.5,1.481872082,Fri,5
13,1.568239963,Fri,5
13.5,1.383832866,Fri,5
14,1.437521008,Fri,5
14.5,1.354262372,Fri,5
15,1.277231559,Fri,5
15.5,1.315746965,Fri,5
16,1.092824463,Fri,5
16.5,1.027857143,Fri,5
17,1.063258637,Fri,5
17.5,0.974169001,Fri,5
18,1.155462185,Fri,5
18.5,0.894024276,Fri,5
19,1.110723623,Fri,5
19.5,1.054309057,Fri,5
20,1.131732026,Fri,5
20.5,1.099052288,Fri,5
21,1.042637722,Fri,5
21.5,1.039528478,Fri,5
22,0.962497666,Fri,5
22.5,0.881965453,Fri,5
23,0.881965453,Fri,5
23.5,0.98894958,Fri,5
24,0.810770308,Fri,5
0.5,0.811545285,Sat,6
1,0.648146592,Sat,6
1.5,0.708837535,Sat,6
2,0.520929038,Sat,6
2.5,0.454402428,Sat,6
3,0.442343604,Sat,6
3.5,0.481638655,Sat,6
4,0.520929038,Sat,6
4.5,0.454402428,Sat,6
5,0.460238095,Sat,6
5.5,0.424056956,Sat,6
6,0.320961718,Sat,6
6.5,0.35130719,Sat,6
7,0.330298786,Sat,6
7.5,0.366479925,Sat,6
8,0.387875817,Sat,6
8.5,0.442343604,Sat,6
9,0.584733894,Sat,6
9.5,0.536101774,Sat,6
10,0.693664799,Sat,6
10.5,0.772254902,Sat,6
11,0.908417367,Sat,6
11.5,0.911531279,Sat,6
12,1.069094304,Sat,6
12.5,1.053921569,Sat,6
13,0.990116713,Sat,6
13.5,1.111498599,Sat,6
14,1.072208217,Sat,6
14.5,1.020462185,Sat,6
15,0.975336134,Sat,6
15.5,1.117334267,Sat,6
16,1.011517274,Sat,6
16.5,1.078043884,Sat,6
17,1.038748833,Sat,6
17.5,1.102161531,Sat,6
18,1.099439776,Sat,6
18.5,1.147679739,Sat,6
19,1.120448179,Sat,6
19.5,1.244551821,Sat,6
20,1.30213352,Sat,6
20.5,1.344537815,Sat,6
21,1.438295985,Sat,6
21.5,1.39589169,Sat,6
22,1.356596639,Sat,6
22.5,1.308356676,Sat,6
23,1.232492997,Sat,6
23.5,1.09321662,Sat,6
24,0.960163399,Sat,6
